category,title,url
domestic,藤井聡太竜王、初の名人挑戦決定,https://news.yahoo.co.jp/pickup/6456372
local,宮台氏襲撃 死亡の男を書類送検へ,https://news.yahoo.co.jp/pickup/6456373
